#        name,          rb,          rb_err
              HD68978A  ,   7.336,   0.662
              HD69611   ,   3.027,   5.211
              HD69655   ,   7.864,   1.056
              HD69830   ,   4.784,   2.371
              HD70889   ,   7.387,   0.686
              HD70903   ,   6.657,   4.236
              HD71334   ,   4.982,   2.417
              HD7134    ,   7.553,   2.352
              HD71479   ,   4.831,   0.684
              HD71685   ,  11.186,   1.009
              HD71835   ,   3.839,   3.078
              HD72374   ,   5.369,   2.243
              HD72579   ,   2.511,   1.818
              HD72659   ,   5.796,   1.085
              HD72673   ,   5.359,   4.445
              HD72769   ,   2.290,   0.871
              HD73121   ,   6.465,   0.689
              HD73267   ,   3.326,   2.548
              HD73524   ,   6.204,   0.663
              HD74014   ,   2.886,   1.217
              HD7449    ,   9.510,   0.729
              HD74698   ,   4.264,   1.467
              HD74957   ,   7.456,   1.292
              HD750     ,   5.792,   3.753
              HD75289   ,   4.914,   0.691
              HD75328   ,   8.627,   1.067
              HD75530   ,   6.024,   4.862
              HD75881   ,   7.043,   0.682
              HD76151   ,   6.377,   0.636
              HD76188   ,  10.871,   1.201
              HD76440   ,   5.498,   1.205
              HD78429   ,   4.015,   1.632
              HD78558   ,   1.600,   4.950
              HD78612   ,   5.376,   3.569
              HD79601   ,   3.598,   5.216
              HD80883   ,   4.332,   3.879
              HD81639   ,   6.449,   2.143
              HD82114   ,   5.864,   0.942
              HD82516   ,   3.579,   2.739
              HD82943   ,   4.914,   0.685
              HD83443   ,   3.914,   0.672
              HD83529   ,   6.565,   2.418
              HD84305   ,   8.585,   1.102
              HD84627B  ,   9.539,   1.129
              HD8535    ,   7.139,   0.687
              HD85390   ,   4.597,   3.003
              HD85725   ,   6.153,   0.693
              HD86065   ,   3.941,   2.724
              HD86140   ,   5.873,   3.646
              HD8638    ,   3.525,   4.639
              HD86652   ,   5.980,   0.708
              HD87320   ,   3.208,   4.029
              HD87838   ,  10.307,   1.203
              HD88084   ,   5.769,   2.012
              HD88218   ,   7.111,   1.210
              HD8828    ,   5.449,   2.949
              HD88474   ,  14.324,   0.738
              HD8859    ,   5.125,   2.550
              HD88656   ,   4.013,   3.326
              HD88725   ,   3.416,   5.295
              HD88742   ,   8.467,   0.684
              HD88885   ,   3.783,   3.525
              HD89749   ,   6.947,   2.842
              HD89839   ,   7.602,   0.720
              HD8985    ,   9.347,   0.714
              HD90081   ,   6.832,   2.061
              HD90133   ,   5.216,   2.860
              HD90156   ,   4.890,   3.735
              HD90722   ,   2.262,   0.815
              HD90812   ,   5.364,   4.142
              HD90926   ,   3.718,   1.451
              HD91345   ,   6.950,   5.981
              HD91379   ,  10.358,   0.964
              HD92547   ,   8.984,   1.844
              HD92588   ,   7.813,   0.679
              HD92719   ,   8.926,   0.701
              HD92788   ,   3.635,   0.770
              HD93351   ,   4.843,   3.760
              HD93385   ,   6.815,   0.848
              HD93745   ,   6.101,   0.693
              HD94151   ,   4.954,   1.231
              HD94444   ,   6.070,   5.054
              HD94771   ,   3.951,   0.821
              HD95456   ,   6.065,   0.715
              HD95521   ,   8.604,   0.878
              HD95533   ,   1.602,   2.936
              HD95542   ,   9.066,   0.682
              HD9578    ,   7.251,   0.707
              HD95860   ,  11.772,   0.734
              HD95922   ,   9.712,   0.706
              HD9608    ,   8.272,   1.385
              HD96116   ,   8.935,   0.736
              HD96276   ,   7.735,   0.724
              HD96290   ,   8.291,   0.706
              HD96423   ,   4.423,   1.101
              HD96700   ,   5.616,   2.829
              HD97037   ,   6.114,   1.282
              HD97320   ,  15.074,   3.278
              HD97343   ,   1.995,   3.967
              HD9782    ,   6.511,   0.716
              HD97998   ,   8.354,   2.706
              HD98281   ,   4.659,   3.802
              HD98284   ,   7.849,   5.546
              HD98356   ,   1.111,   3.550
              HIP1745   ,   6.310,   4.322
              HIP31639  ,   6.608,   4.661
              HIP32127  ,   7.285,   4.644
              HIP99606B ,   3.681,   4.490
